tweet,date,city,user_location,place,coordinates,id,link
Y mientras tanto Claudia López continúa con su xenofobia. https://t.co/MiAasYzu6y,2020-11-08 15:13:13,Bogota,Bogotá ,,,1325456345512992768,https://twitter.com/i/web/status/1325456345512992768
@JuMaJaRa @Linitanueva @medellincuenta1 Ese tipo como alcalde es un desastre igual que Claudia López !,2020-11-08 15:11:44,Bogota,Bogotá,,,1325455974619033601,https://twitter.com/i/web/status/1325455974619033601
"Se ven tan hipócritas criticando a Claudia López de xenófoba, como si ninguno alguna vez hubiera sentido fastidio hacia un venezolano. Ellos son una crisis más en este país. Fin.",2020-11-08 14:59:09,Bogota,"Bogotá, Colombia",,,1325452808670355456,https://twitter.com/i/web/status/1325452808670355456
El nuevo Comando de la Policía de Bogotá se entregará en 2021: Claudia López https://t.co/5iCgbMJxQ9,2020-11-08 14:50:26,Bogota,"Colombia, Bogotá",,,1325450612968882176,https://twitter.com/i/web/status/1325450612968882176
"En Colombia el único q se cree el ""elegido"" es: @sergio_fajardo , no quizó consulta con Robledo y Claudia lopez, estos se sometieron y lo apoyaron, no quizó consulta con Petro, Hasta Hubiese ganado, él sabe bien q su papel es dividir no Gobernar, tal como se lo ordeno #Matarife",2020-11-08 14:36:31,Bogota,Bogotá,,,1325447111241043968,https://twitter.com/i/web/status/1325447111241043968
"@AlexLopezMaya Se equivoca alexander, el ego y las ganas de poder son grietas imposibles de solucionar.

Pregúntese esto en el caso Claudia López, Jorge Robledo Iván Marulanda y Galán hijo.

La agenda que menciona pasa a un segundo plano para los mencionados. Pregúntele, haga el ejercicio.",2020-11-08 14:33:01,Bogota,. ,,,1325446230298796033,https://twitter.com/i/web/status/1325446230298796033
"A la Alcaldía de Claudia López se le está notando la baja ejecución de presupuesto en el IDRD.
La ciclovía cada día con más personas haciendo ejercicio pero menos guías, menos apoyo en cruces y desaparecido el programa de RecreoVía.
Debe ser que la platica se va para más vídeos.",2020-11-08 14:23:35,Bogota,Bogotá,,,1325443857778139140,https://twitter.com/i/web/status/1325443857778139140
"La alcaldesa Claudia López indicó que el alumbrado se encenderá el 29 de noviembre, pero que no será igual que en años anteriores.
https://t.co/Bvn1Es2Agq https://t.co/MVpFbafGZk",2020-11-08 14:15:03,Bogota,"Bogotá, Colombia",,,1325441709354999808,https://twitter.com/i/web/status/1325441709354999808
"Este tweet ingenuo resume lo siguiente:

Votaron contra Trump, no a favor de Biden. No romanticen al Fajardo gringo y a la versión afro de Claudia López. 

La premisa era derrotar al populismo reaccionario de Trump, no idealizar al neoliberalismo progresista de partido demócrata. https://t.co/v3DyfgIrw9",2020-11-08 14:10:31,Bogota,Bogotá Colombia,,,1325440566969176071,https://twitter.com/i/web/status/1325440566969176071
"@soniaamparoh @petrogustavo @ClaudiaLopez @HOLLMANMORRIS Claudia López, dejo ver su ineptitud echando culpas a los venezolanos sin mirar su situación, y  la hace aún más inepta si no investiga quienes son esos ladrones, sean de donde sean, solo lanza juicios y condenas.",2020-11-08 14:10:01,Bogota,"La Calera, Colombia",,,1325440442775658501,https://twitter.com/i/web/status/1325440442775658501
@lasillavacia @ClaudiaLopez @IvanDuque @EnriquePenalosa Grande Claudia López,2020-11-08 13:56:09,Bogota,Bogota,,,1325436950975836160,https://twitter.com/i/web/status/1325436950975836160
"@LuisErnestoGL Menos populismo y mentiras de la alcaldía de Claudia López y sus secretarios.
No más transmilenio
No demoler el San juan
No construir en Bosque Bavaria
No seguir acabando con humedales
No inculpar a gente de otros países por la inseguridad
No contratación de personero a dedo",2020-11-08 13:47:15,Bogota,"La Calera, Colombia",,,1325434712043769856,https://twitter.com/i/web/status/1325434712043769856
"Votaron contra Trump, no a favor de Biden. Dejen de romantizar al Fajardo gringo y a la versión afro de Claudia López en Estados Unidos. 

La premisa era derrotar al populismo reaccionario de Trump, no idealizar al neoliberalismo progresista del partido demócrata.",2020-11-08 13:44:16,Bogota,Bogotá Colombia,,,1325433960973930498,https://twitter.com/i/web/status/1325433960973930498
